,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
2140,,0.0,0.0,0.0,0.0,0.0
2141,,790.4,0.0,0.0,5730.4,5730.4
2142,,790.4,0.0,0.0,5730.4,5730.4
2143,,111.44,0.0,0.0,807.94,807.94
2144,,73.11,0.0,0.0,542.65,542.65
2145,,5.91,0.0,0.0,42.870000000000005,42.87
2146,,335.7,0.0,0.0,2433.78,2433.78
2147,,520.0,0.0,0.0,3770.0,3770.0
2148,,20.69,0.0,0.0,150.0,150.0
2149,,1039.95,0.0,389.98,7149.68,7149.68
2150,,24.55,0.0,0.0,178.0,178.0
2151,,2848.97,0.0,26.5,19586.68,19586.68
2152,,96.0,0.0,0.0,696.0,696.0
2153,,22.14,0.0,0.0,160.51999999999998,160.52
2154,,202.0,0.0,0.0,0.0,128.0
2155,,202.0,0.0,0.0,1464.54,1464.54
2156,,115.33,0.0,0.0,836.12,836.12
2157,,28.56,0.0,0.0,5307.06,5307.06
2158,,1660.94,0.0,0.0,12041.76,12041.76
2159,,3371.57,0.0,26.5,23179.57,23179.57
2160,,128.48,0.0,0.0,931.48,931.48
2161,,1204.61,0.0,0.0,8733.41,8733.41
2162,,0.0,0.0,0.0,0.0,0.0
2163,,0.0,0.0,0.0,0.0,0.0
2164,,244.62,0.0,0.0,1773.46,1773.46
2165,,400.0,0.0,0.0,2900.0,2900.0
2166,,50.55,0.0,0.0,366.5,366.5
2167,,497.92,0.0,0.0,3609.92,3609.92
2168,,0.0,0.0,0.0,11284.22,11284.22
2169,,48.0,0.0,0.0,348.0,348.0
2170,,67.34,0.0,0.0,500.0,500.0
2171,,53.39,0.0,0.0,387.09999999999997,387.1
2172,,22.29,0.0,0.0,161.6,161.6
2173,,195.61,0.0,0.0,1418.15,1418.15
2174,,41.92,0.0,0.0,303.92,303.92
2175,,691.06,0.0,259.15,4751.01,4751.01
2176,,18.08,0.0,0.0,131.1,131.1
2177,,36.96,0.0,0.0,267.96,267.96
2178,,0.0,0.0,0.0,144.0,144.0
2179,,2941.63,0.0,0.0,21326.760000000002,21326.76
2180,,800.0,0.0,0.0,5800.0,5800.0
2181,,636.31,0.0,0.0,0.0,777.0
2182,,636.31,0.0,0.0,4613.24,4613.24
2183,,388.25,0.0,0.0,2814.83,2814.83
2184,,107.33,0.0,0.0,778.13,778.13
2185,,403.96,0.0,0.0,2928.66,2928.66
2186,,0.0,0.0,0.0,0.0,0.0
2187,,520.2,0.0,0.0,3771.45,3771.45
2188,,0.0,0.0,0.0,0.0,0.0
2189,,393.1,0.0,0.0,2850.0,2850.0
2190,,2400.0,0.0,0.0,17400.0,17400.0
2191,,316.8,0.0,0.0,2296.8,2296.8
2192,,0.0,0.0,0.0,0.0,0.0
2193,,0.0,0.0,0.0,0.0,0.0
2194,,384.9,3.5,26.5,28600.0,28600.0
2195,,0.0,0.0,0.0,0.0,0.0
2196,,7.41,0.0,0.0,53.709999999999994,53.71
2197,,78.4,0.0,0.0,568.4,568.4
2198,,0.0,0.0,0.0,0.0,0.0
2199,,770.76,0.0,0.0,5588.0,5588.0
2200,,0.0,0.0,0.0,0.0,2532.8
2201,,0.0,0.0,0.0,0.0,1725.8
2202,,0.0,0.0,0.0,0.0,2657.85
2203,,79.38,0.0,0.0,575.49,575.49
2204,,26.88,0.0,0.0,194.91,194.91
2205,,88.8,0.0,0.0,643.8,643.8
2206,,312.0,0.0,0.0,2262.0,2262.0
2207,,208.0,0.0,0.0,1508.0,1508.0
2208,,17.86,0.0,0.0,129.45999999999998,129.46
2209,,107.14,0.0,0.0,776.74,776.74
2210,,0.0,0.0,0.0,0.0,358.5
2211,,8.05,0.0,0.0,58.32000000000001,58.32
2212,,17.6,0.0,0.0,127.6,127.6
2213,,896.0,0.0,0.0,6496.0,6496.0
2214,,199.92,0.0,0.0,1449.44,1449.44
2215,,345.6,0.0,0.0,2505.6,2505.6
2216,,888.22,0.0,0.0,6439.6,6439.6
2217,,888.32,0.0,0.0,6440.299999999999,6440.3
2218,,94.81,0.0,0.0,687.3800000000001,687.38
2219,,0.0,0.0,0.0,0.0,525.75
2220,,0.0,0.0,0.0,0.0,1165.1
2221,,0.0,0.0,0.0,0.0,319.95
2222,,0.0,0.0,0.0,0.0,0.0
2223,,746.24,0.0,0.0,5410.24,5410.24
2224,,0.0,0.0,0.0,0.0,0.0
2225,,13.24,0.0,0.0,96.0,96.0
2226,,86.91,0.0,0.0,630.11,630.11
2227,,403.2,0.0,0.0,2923.2,2923.2
2228,,48.0,0.0,0.0,348.0,348.0
2229,,204.0,0.0,0.0,1479.0,1479.0
2230,,136.0,0.0,0.0,986.0,986.0
2231,,0.0,0.0,0.0,0.0,170.0
2232,,23.86,0.0,0.0,172.95999999999998,172.96
2233,,1392.0,0.0,0.0,10092.0,10092.0
2234,,0.0,0.0,0.0,0.0,0.0
2235,,0.0,0.0,0.0,0.0,0.0
2236,,1111.92,0.0,416.97,7644.45,7644.45
